当前帧数,当前时间,等级,当前地图名字,帧率,Unity中的内部分配器分配的内存总量,Unity为当前和未来分配预留的内存总量,Unity未使用的内存量,mono已分配内存,mono预留内存,lua内存,游戏品质,当前打开的UI,温度,电池电量
174,6.525416,0,LaunchGame,3,110.95,119.45,8.49,0.00,0.00,8.47,0,,0,0.77
175,6.592656,0,LaunchGame,14,111.23,119.74,8.50,0.00,0.00,8.47,0,,0,0.77
176,6.626923,0,LaunchGame,29,111.30,119.80,8.50,0.00,0.00,8.47,0,,0,0.77
177,6.661099,0,LaunchGame,29,116.42,124.93,8.51,0.00,0.00,8.47,0,,0,0.77
178,6.994433,0,LaunchGame,3,116.35,124.86,8.52,0.00,0.00,8.47,0,,0,0.77
179,7.027733,0,LaunchGame,30,116.22,124.74,8.52,0.00,0.00,8.47,0,,0,0.77
180,7.361066,0,LaunchGame,3,118.25,126.86,8.62,0.00,0.00,8.53,0,,0,0.77
181,7.395329,0,LaunchGame,29,119.20,127.82,8.62,0.00,0.00,8.53,0,,0,0.77
182,7.429434,0,LaunchGame,29,119.15,127.77,8.62,0.00,0.00,8.53,0,,0,0.77
183,7.463784,0,LaunchGame,29,119.69,128.33,8.65,0.00,0.00,8.53,0,,0,0.77
184,7.498003,0,LaunchGame,29,120.97,129.62,8.65,0.00,0.00,8.53,0,,0,0.77
185,7.53222,0,LaunchGame,29,120.90,129.57,8.67,0.00,0.00,8.53,0,,0,0.77
186,7.566417,0,LaunchGame,29,121.28,129.95,8.67,0.00,0.00,8.53,0,,0,0.77
187,7.637309,0,LaunchGame,14,121.56,130.26,8.70,0.00,0.00,8.99,0,,0,0.77
188,7.669251,0,LaunchGame,31,121.57,130.26,8.70,0.00,0.00,8.99,0,,0,0.77
189,7.70349,0,LaunchGame,29,121.46,130.16,8.70,0.00,0.00,8.99,0,,0,0.77
190,7.737686,0,LaunchGame,29,121.49,130.19,8.70,0.00,0.00,8.99,0,,0,0.77
191,7.771935,0,LaunchGame,29,121.48,130.18,8.70,0.00,0.00,8.99,0,,0,0.77
192,7.806104,0,LaunchGame,29,121.47,130.17,8.70,0.00,0.00,8.99,0,,0,0.77
193,7.840284,0,LaunchGame,29,121.47,130.17,8.70,0.00,0.00,8.99,0,LoginAccountView,0,0.77
194,7.874471,0,LaunchGame,29,122.38,131.09,8.71,0.00,0.00,9.11,0,LoginAccountView,0,0.77
195,7.908643,0,LaunchGame,29,123.66,132.39,8.73,0.00,0.00,9.11,0,LoginAccountView,0,0.77
196,7.945271,0,LaunchGame,27,125.74,134.49,8.76,0.00,0.00,9.11,0,LoginAccountView,0,0.77
197,7.979452,0,LaunchGame,29,125.30,134.07,8.77,0.00,0.00,9.11,0,LoginAccountView,0,0.77
198,8.011742,0,LaunchGame,30,125.21,134.01,8.80,0.00,0.00,9.11,0,LoginAccountView,0,0.77
199,8.045853,0,LaunchGame,29,125.23,134.05,8.82,0.00,0.00,9.17,0,LoginAccountView,0,0.77
200,8.080143,0,LaunchGame,29,125.26,134.08,8.82,0.00,0.00,9.17,0,LoginAccountView,0,0.77
201,8.114257,0,LaunchGame,29,127.05,135.86,8.81,0.00,0.00,9.17,0,LoginAccountView,0,0.77
202,8.148438,0,LaunchGame,29,133.66,142.62,8.96,0.00,0.00,9.17,0,LoginAccountView,0,0.77
203,8.182623,0,LaunchGame,29,129.40,138.45,9.06,0.00,0.00,9.17,0,LoginAccountView,0,0.77
204,8.250989,0,LaunchGame,14,129.42,138.48,9.06,0.00,0.00,9.17,0,LoginAccountView,0,0.77
205,8.28545,0,LaunchGame,29,129.41,138.48,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
206,8.319636,0,LaunchGame,29,129.41,138.48,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
207,8.353842,0,LaunchGame,29,129.41,138.48,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
208,8.38809,0,LaunchGame,29,129.41,138.48,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
209,8.422295,0,LaunchGame,29,129.41,138.48,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
210,8.456466,0,LaunchGame,29,129.41,138.49,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
211,8.492102,0,LaunchGame,28,129.41,138.49,9.07,0.00,0.00,9.17,0,LoginAccountView,0,0.77
212,8.526302,0,LaunchGame,29,129.41,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
213,8.559401,0,LaunchGame,30,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
214,8.593674,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
215,8.627906,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
216,8.662131,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
217,8.696261,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
218,8.730445,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
219,8.76481,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
220,8.799024,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
221,8.833215,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
222,8.867502,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
223,8.901715,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
224,8.935923,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
225,8.970134,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
226,9.004319,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
227,9.038527,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
228,9.072733,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
229,9.10698,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
230,9.141209,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
231,9.17541,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
232,9.211665,0,LaunchGame,27,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
233,9.245885,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
234,9.277878,0,LaunchGame,31,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
235,9.31224,0,LaunchGame,29,129.42,138.49,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
236,9.346421,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
237,9.38067,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
238,9.414788,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
239,9.448912,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
240,9.483098,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
241,9.517257,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
242,9.551413,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
243,9.585573,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
244,9.620453,0,LaunchGame,28,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
245,9.654612,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
246,9.688624,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
247,9.722782,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
248,9.756917,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
249,9.792682,0,LaunchGame,27,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
250,9.826815,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
251,9.859971,0,LaunchGame,30,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
252,9.894175,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
253,9.928322,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
254,9.962581,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
255,9.996707,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
256,10.03085,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
257,10.06541,0,LaunchGame,28,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
258,10.09956,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
259,10.13374,0,LaunchGame,29,129.43,138.50,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
260,10.16799,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
261,10.20216,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
262,10.23658,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
263,10.2708,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
264,10.30497,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
265,10.33905,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
266,10.37315,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
267,10.40729,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
268,10.44196,0,LaunchGame,28,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
269,10.47608,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
270,10.51019,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
271,10.54471,0,LaunchGame,28,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
272,10.57898,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
273,10.61327,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
274,10.64752,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
275,10.68182,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
276,10.7161,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
277,10.75006,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
278,10.78434,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
279,10.81862,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
280,10.85271,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
281,10.88692,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
282,10.9211,0,LaunchGame,29,129.43,138.51,9.07,0.00,0.00,9.18,0,LoginAccountView,0,0.77
283,10.95529,0,LaunchGame,29,129.44,138.52,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
284,10.98971,0,LaunchGame,29,129.26,138.28,9.02,0.00,0.00,9.18,0,LoginAccountView,0,0.77
285,11.02389,0,LaunchGame,29,129.23,138.31,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
286,11.05805,0,LaunchGame,29,129.29,138.37,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
287,11.09226,0,LaunchGame,29,129.32,138.40,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
288,11.12647,0,LaunchGame,29,129.32,138.40,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
289,11.16069,0,LaunchGame,29,129.32,138.40,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
290,11.1949,0,LaunchGame,29,129.33,138.40,9.08,0.00,0.00,9.18,0,LoginAccountView,0,0.77
291,11.22935,0,LaunchGame,29,129.33,138.41,9.08,0.00,0.00,9.21,0,LoginAccountView,0,0.77
292,11.26358,0,LaunchGame,29,129.32,138.40,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
293,11.29784,0,LaunchGame,29,129.33,138.40,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
294,11.33221,0,LaunchGame,29,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
295,11.36652,0,LaunchGame,29,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
296,11.40081,0,LaunchGame,29,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
297,11.43511,0,LaunchGame,29,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
298,11.47039,0,LaunchGame,28,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
299,11.50469,0,LaunchGame,29,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
300,11.53759,0,LaunchGame,30,129.33,138.41,9.08,0.00,0.00,9.35,0,LoginAccountView,0,0.77
